cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2017-18077,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-18077,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-18214,codeql,true,,OK,true,true,true,false,false,false,false,false,true,1,24,24,true,CWE-400,CWE-730|CWE-400
CVE-2017-18214,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,16,16,true,CWE-400,CWE-730|CWE-400
CVE-2017-18214,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-18352,codeql,true,,OK,true,true,true,true,true,true,true,true,true,5,0,0,true,CWE-079,CWE-079|CWE-116
CVE-2017-18352,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,79,79,true,CWE-079,CWE-079|CWE-116
CVE-2017-18352,snyk-code,true,,OK,true,true,true,true,true,true,true,true,true,5,0,0,null,CWE-079,CWE-079|CWE-116
CVE-2017-18353,codeql,true,,OK,true,true,true,true,true,true,true,true,true,5,0,0,true,CWE-079,CWE-079|CWE-116
CVE-2017-18353,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,103,103,true,CWE-079,CWE-079|CWE-116
CVE-2017-18353,snyk-code,true,,OK,true,true,true,true,true,false,false,false,true,5,6,6,null,CWE-079,CWE-079|CWE-116
CVE-2017-18354,codeql,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-918,CWE-918
CVE-2017-18354,semgrep,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-918,CWE-918
CVE-2017-18354,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-918,CWE-918
CVE-2017-18355,codeql,true,,OK,true,true,true,false,false,true,false,false,true,2,0,0,true,CWE-200,CWE-200
CVE-2017-18355,semgrep,true,,OK,true,true,true,false,false,true,false,false,true,2,0,0,true,CWE-200,CWE-200
CVE-2017-18355,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-200,CWE-200
CVE-2017-18635,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
