check_id,languages,js_ts
javascript.angular.security.detect-angular-sce-disabled.detect-angular-sce-disabled,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-css.detect-angular-trust-as-css-method,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-html-method.detect-angular-trust-as-html-method,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-js-method.detect-angular-trust-as-js-method,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-method.detect-angular-trust-as-method,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-resourceurl-method.detect-angular-trust-as-resourceurl-method,javascript|typescript,sim
javascript.angular.security.detect-angular-trust-as-url-method.detect-angular-trust-as-url-method,javascript|typescript,sim
javascript.angular.security.detect-third-party-angular-translate.detect-angular-translateprovider-translations-method,javascript,sim
javascript.apollo.security.apollo-axios-ssrf.apollo-axios-ssrf,javascript,sim
javascript.argon2.security.unsafe-argon2-config.unsafe-argon2-config,javascript|typescript,sim
javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,javascript|typescript,sim
javascript.aws-lambda.security.detect-child-process.detect-child-process,javascript|typescript,sim
javascript.aws-lambda.security.dynamodb-request-object.dynamodb-request-object,javascript|typescript,sim
javascript.aws-lambda.security.knex-sqli.knex-sqli,javascript|typescript,sim
javascript.aws-lambda.security.mysql-sqli.mysql-sqli,javascript|typescript,sim
javascript.aws-lambda.security.pg-sqli.pg-sqli,javascript|typescript,sim
javascript.aws-lambda.security.sequelize-sqli.sequelize-sqli,javascript|typescript,sim
javascript.aws-lambda.security.tainted-eval.tainted-eval,javascript|typescript,sim
javascript.aws-lambda.security.tainted-html-response.tainted-html-response,javascript|typescript,sim
javascript.aws-lambda.security.tainted-html-string.tainted-html-string,javascript|typescript,sim
javascript.aws-lambda.security.vm-runincontext-injection.vm-runincontext-injection,javascript|typescript,sim
javascript.bluebird.security.audit.tofastproperties-code-execution.tofastproperties-code-execution,javascript|typescript,sim
javascript.browser.security.eval-detected.eval-detected,javascript|typescript,sim
javascript.browser.security.insufficient-postmessage-origin-validation.insufficient-postmessage-origin-validation,javascript|typescript,sim
javascript.browser.security.open-redirect.js-open-redirect,javascript|typescript,sim
javascript.browser.security.raw-html-concat.raw-html-concat,javascript|typescript,sim
javascript.browser.security.wildcard-postmessage-configuration.wildcard-postmessage-configuration,javascript|typescript,sim
javascript.chrome-remote-interface.security.audit.chrome-remote-interface-compilescript-injection.chrome-remote-interface-compilescript-injection,javascript|typescript,sim
javascript.deno.security.audit.deno-dangerous-run.deno-dangerous-run,javascript|typescript,sim
javascript.express.security.audit.express-check-csurf-middleware-usage.express-check-csurf-middleware-usage,javascript|typescript,sim
javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-default-name,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-no-domain,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-no-expires,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-no-httponly,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-no-path,javascript|typescript,sim
javascript.express.security.audit.express-cookie-settings.express-cookie-session-no-secure,javascript|typescript,sim
javascript.express.security.audit.express-detect-notevil-usage.express-detect-notevil-usage,javascript|typescript,sim
javascript.express.security.audit.express-jwt-not-revoked.express-jwt-not-revoked,javascript|typescript,sim
javascript.express.security.audit.express-libxml-noent.express-libxml-noent,javascript|typescript,sim
javascript.express.security.audit.express-libxml-vm-noent.express-libxml-vm-noent,javascript|typescript,sim
javascript.express.security.audit.express-open-redirect.express-open-redirect,javascript|typescript,sim
javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal,javascript|typescript,sim
javascript.express.security.audit.express-res-sendfile.express-res-sendfile,javascript|typescript,sim
javascript.express.security.audit.express-session-hardcoded-secret.express-session-hardcoded-secret,javascript|typescript,sim
javascript.express.security.audit.express-ssrf.express-ssrf,javascript|typescript,sim
javascript.express.security.audit.express-third-party-object-deserialization.express-third-party-object-deserialization,javascript|typescript,sim
javascript.express.security.audit.express-xml2json-xxe-event.express-xml2json-xxe-event,javascript|typescript,sim
